key,best_word
YYYYY,tares
YYYYN,tared
YYYYM,None
YYYNY,tarts
YYYNN,tardo
YYYNM,tarsi
YYYMY,None
YYYMN,targe
YYYMM,None
YYNYY,tates
YYNYN,taped
YYNYM,tased
YYNNY,tails
YYNNN,takin
YYNNM,tassa
YYNMY,taels
YYNMN,taube
YYNMM,tawse
YYMYY,None
YYMYN,tater
YYMYM,taser
YYMNY,tahrs
YYMNN,talar
YYMNM,tasar
YYMMY,None
YYMMN,None
YYMMM,None
YNYYY,teres
YNYYN,tyred
YNYYM,None
YNYNY,tiros
YNYNN,throb
YNYNM,torsi
YNYMY,terfs
YNYMN,terce
YNYMM,terse
YNNYY,tones
YNNYN,towed
YNNYM,tosed
YNNNY,touns
YNNNN,tinty
YNNNM,tushy
YNNMY,thens
YNNMN,thine
YNNMM,those
YNMYY,tries
YNMYN,twier
YNMYM,None
YNMNY,trois
YNMNN,triol
YNMNM,tryst
YNMMY,treys
YNMMN,trike
YNMMM,trest
YMYYY,None
YMYYN,None
YMYYM,None
YMYNY,toras
YMYNN,toran
YMYNM,None
YMYMY,teras
YMYMN,terga
YMYMM,None
YMNYY,twaes
YMNYN,tinea
YMNYM,None
YMNNY,tunas
YMNNN,twain
YMNNM,toast
YMNMY,teads
YMNMN,telae
YMNMM,tesla
YMMYY,None
YMMYN,None
YMMYM,None
YMMNY,trass
YMMNN,trait
YMMNM,trash
YMMMY,tears
YMMMN,tread
YMMMM,None
NYYYY,bares
NYYYN,darer
NYYYM,saree
NYYNY,darks
NYYNN,carby
NYYNM,saran
NYYMY,earls
NYYMN,garbe
NYYMM,parse
NYNYY,lames
NYNYN,laden
NYNYM,sabed
NYNNY,kalis
NYNNN,manly
NYNNM,salon
NYNMY,baels
NYNMN,macle
NYNMM,halse
NYMYY,rakes
NYMYN,lager
NYMYM,baser
NYMNY,ragis
NYMNN,ranid
NYMNM,sabra
NYMMY,laers
NYMMN,raine
NYMMM,raise
NNYYY,yores
NNYYN,lured
NNYYM,sored
NNYNY,doris
NNYNN,curio
NNYNM,scrog
NNYMY,merks
NNYMN,borde
NNYMM,seron
NNNYY,lines
NNNYN,loden
NNNYM,soled
NNNNY,lions
NNNNN,colin
NNNNM,soily
NNNMY,deils
NNNMN,oldie
NNNMM,spile
NNMYY,roues
NNMYN,oiler
NNMYM,siler
NNMNY,drops
NNMNN,prion
NNMNM,sohur
NNMMY,keirs
NNMMN,drone
NNMMM,spore
NMYYY,aures
NMYYN,aired
NMYYM,None
NMYNY,auris
NMYNN,moria
NMYNM,spray
NMYMY,eyras
NMYMN,feria
NMYMM,serac
NMNYY,ables
NMNYN,ailed
NMNYM,ashed
NMNNY,loans
NMNNN,aloin
NMNNM,shalm
NMNMY,neals
NMNMN,plane
NMNMM,sepal
NMMYY,arses
NMMYN,armed
NMMYM,asper
NMMNY,grabs
NMMNN,grail
NMMNM,sharn
NMMMY,apers
NMMMN,beard
NMMMM,sewar
MYYYY,None
MYYYN,caret
MYYYM,None
MYYNY,farts
MYYNN,yarta
MYYNM,warst
MYYMY,None
MYYMN,carte
MYYMM,earst
MYNYY,dates
MYNYN,lated
MYNYM,satem
MYNNY,lants
MYNNN,haint
MYNNM,saint
MYNMY,easts
MYNMN,lathe
MYNMM,waste
MYMYY,rates
MYMYN,ratel
MYMYM,None
MYMNY,ratas
MYMNN,ratio
MYMNM,rasta
MYMMY,None
MYMMN,rathe
MYMMM,None
MNYYY,None
MNYYN,buret
MNYYM,strep
MNYNY,dorts
MNYNN,forty
MNYNM,wurst
MNYMY,verts
MNYMN,hertz
MNYMM,perst
MNNYY,yites
MNNYN,botel
MNNYM,inset
MNNNY,louts
MNNNN,count
MNNNM,shout
MNNMY,sents
MNNMN,lithe
MNNMM,spite
MNMYY,rotes
MNMYN,outer
MNMYM,ester
MNMNY,riots
MNMNN,fruit
MNMNM,roust
MNMMY,rents
MNMMN,nitre
MNMMM,reest
MMYYY,None
MMYYN,arret
MMYYM,None
MMYNY,airts
MMYNN,aorta
MMYNM,strap
MMYMY,None
MMYMN,derat
MMYMM,strae
MMNYY,antes
MMNYN,acted
MMNYM,asset
MMNNY,altos
MMNNN,alant
MMNNM,slant
MMNMY,feats
MMNMN,leapt
MMNMM,stale
MMMYY,None
MMMYN,alter
MMMYM,aster
MMMNY,frats
MMMNN,orant
MMMNM,stark
MMMMY,arets
MMMMN,prate
MMMMM,reast
